file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rms_mean,rms_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth2_mean,spectral_bandwidth2_std,spectral_bandwidth3_mean,spectral_bandwidth3_std,spectral_bandwidth4_mean,spectral_bandwidth4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
ACDC - ACDC - Back In Black (Official 4K Video) - Hard Rock - clipped.wav,0.151,0.206,1.646,1.673,0.165,0.05,0.194,0.069,92.285,2819.619,550.782,2525.571,335.159,3038.423,274.074,3497.795,229.681,19.479,13.323,16.281,16.872,16.747,17.088,47.759,5.195,3.812,4.023,3.219,2.333,2.374,3.312,5633.458,1314.612,-14.557,68.625,-29.831,14.758,7.474,-0.334,-3.339,8.781,-3.811,3.725,-2.613,5.479,-4.552,-0.858,-1.03,1.667,-3.263,-0.371,-4.516,1.71,52.699,24.938,22.211,16.548,11.665,11.689,11.462,9.946,9.534,8.204,8.92,8.198,8.165,7.426,8.699,8.028,7.167,6.802,7.202,6.6,0.426,0.443,0.508,0.475,0.493,0.441,0.451,0.408,0.364,0.405,0.407,0.47,0.267,0.267,0.312,0.274,0.299,0.289,0.283,0.271,0.247,0.278,0.276,0.302
ACDC - ACDC - Hells Bells (Official 4K Video) - Hard Rock - clipped.wav,0.176,0.225,1.258,0.491,0.114,0.035,0.22,0.047,103.359,2386.871,535.829,2445.806,429.192,2984.126,390.242,3485.95,340.517,21.849,15.073,18.135,18.531,16.966,18.62,50.086,4.418,3.93,4.177,3.463,2.537,2.832,3.449,4980.962,1460.589,-11.327,91.486,-16.848,33.257,14.814,1.698,0.292,3.866,-2.985,10.969,1.305,8.485,-6.799,-1.686,-1.769,4.441,-2.346,2.223,-0.594,2.158,35.744,21.615,20.213,12.891,7.795,7.072,7.161,6.847,6.254,6.615,5.826,5.405,5.819,5.519,5.928,5.447,5.152,4.486,4.215,4.522,0.308,0.341,0.409,0.344,0.563,0.314,0.353,0.505,0.474,0.721,0.388,0.304,0.24,0.189,0.279,0.171,0.294,0.176,0.238,0.312,0.18,0.297,0.16,0.203
"ACDC - ACDC - Highway to Hell (Live At River Plate, December 2009) - Hard Rock - clipped.wav",0.136,0.178,1.576,1.259,0.152,0.052,0.172,0.045,123.047,2804.508,570.096,2641.311,380.767,3160.519,310.711,3630.452,251.839,19.168,12.625,16.312,16.332,17.962,16.756,48.612,4.535,3.659,3.979,3.076,3.067,1.986,2.359,5760.115,1330.762,-22.873,72.697,-19.438,12.494,4.424,2.957,-6.249,-3.067,4.568,0.705,-3.634,-0.695,-5.774,-0.561,-6.52,3.426,-3.918,0.257,-2.879,1.117,31.367,17.954,23.102,15.431,10.802,10.091,10.448,10.283,9.332,9.516,8.462,7.574,7.825,9.486,7.912,6.951,8.322,8.55,6.443,6.392,0.378,0.361,0.359,0.404,0.351,0.408,0.43,0.403,0.54,0.43,0.392,0.409,0.276,0.279,0.282,0.298,0.26,0.317,0.309,0.267,0.326,0.284,0.294,0.316
ACDC - ACDC - It's a Long Way to the Top (If You Wanna Rock 'N' Roll) (Audio) - Hard Rock - clipped.wav,0.19,0.244,1.21,0.416,0.136,0.049,0.238,0.053,135.999,2328.275,550.458,2194.268,418.078,2695.757,411.556,3184.243,392.002,19.499,15.39,19.492,19.26,18.477,19.48,49.83,4.549,4.029,4.12,3.338,3.282,3.165,3.244,4559.589,1202.33,-6.258,94.364,-28.749,35.359,-1.098,7.327,1.688,5.51,1.902,6.225,-3.49,7.554,-2.293,1.556,0.106,6.69,-2.023,5.224,-5.35,-6.7,47.467,28.672,26.491,15.141,9.993,8.782,7.886,7.562,7.252,6.649,6.935,6.134,6.318,6.643,7.414,7.098,6.388,5.938,6.55,7.822,0.382,0.302,0.428,0.37,0.307,0.403,0.268,0.323,0.428,0.463,0.747,0.403,0.264,0.209,0.274,0.293,0.244,0.263,0.206,0.223,0.273,0.22,0.291,0.199
ACDC - ACDC - Moneytalks (Official HD Video) - Hard Rock - clipped.wav,0.194,0.251,1.33,0.665,0.12,0.042,0.244,0.059,123.047,2507.324,550.471,2451.11,420.342,2937.086,376.647,3396.426,336.881,20.562,13.8,16.581,16.395,16.934,15.894,50.148,4.661,3.748,3.721,2.785,2.235,1.943,2.823,5200.885,1313.224,-1.689,84.739,-13.511,36.313,6.721,9.783,-4.511,12.331,2.718,3.046,4.132,7.356,-2.606,-1.283,-0.594,4.058,-1.623,6.081,0.497,-0.077,49.951,24.268,25.422,16.228,10.903,8.993,7.799,7.96,6.874,6.125,7.047,6.01,5.471,5.96,5.26,5.485,4.974,6.373,5.462,4.83,0.296,0.355,0.637,0.494,0.423,0.403,0.535,0.73,0.507,0.465,0.341,0.338,0.234,0.167,0.27,0.233,0.263,0.22,0.226,0.287,0.223,0.256,0.224,0.24
ACDC - ACDC - Shoot To Thrill (Iron Man 2 Version) - Hard Rock - clipped.wav,0.058,0.075,1.29,0.552,0.117,0.033,0.073,0.017,143.555,2516.144,388.016,2578.467,267.736,3141.585,205.848,3646.688,162.582,20.988,13.159,14.912,14.377,15.543,16.637,48.057,5.084,3.484,3.316,2.508,2.128,1.786,2.633,5250.993,1136.272,-105.349,84.32,-21.136,14.304,10.818,5.268,5.803,12.399,2.52,10.084,3.839,6.701,-1.61,3.309,-0.53,3.608,-1.658,2.91,-0.17,2.631,20.799,14.363,14.492,8.248,7.042,7.093,5.833,5.562,5.515,5.338,4.951,4.799,5.029,4.666,5.076,4.967,4.528,4.617,4.542,4.401,0.514,0.521,0.553,0.553,0.628,0.484,0.576,0.612,0.508,0.565,0.453,0.501,0.256,0.228,0.278,0.225,0.251,0.231,0.257,0.265,0.226,0.266,0.212,0.228
ACDC - ACDC - T.N.T. - Hard Rock - clipped.wav,0.157,0.208,1.294,0.788,0.124,0.061,0.197,0.067,129.199,2212.446,758.837,2085.984,488.824,2559.634,459.307,3031.877,421.125,19.314,16.758,19.525,18.707,19.282,19.835,51.074,4.522,4.766,5.338,5.205,4.07,3.838,3.179,4303.741,1444.576,-73.157,92.021,-24.087,52.532,6.549,13.255,0.22,7.08,4.271,6.933,-1.701,5.575,0.418,5.883,4.439,4.277,-5.144,3.832,-3.839,-1.864,90.402,37.911,29.809,13.886,14.492,11.682,12.99,9.488,8.717,9.261,8.194,8.954,8.338,9.618,8.715,8.694,8.461,7.972,8.858,8.283,0.305,0.311,0.336,0.37,0.451,0.361,0.308,0.342,0.394,0.476,0.513,0.551,0.234,0.273,0.282,0.305,0.348,0.276,0.227,0.297,0.277,0.329,0.303,0.33
ACDC - ACDC - Thunderstruck (Official Video) - Hard Rock - clipped.wav,0.153,0.199,1.444,0.945,0.112,0.041,0.194,0.045,135.999,2620.923,520.862,2628.953,319.491,3130.118,293.61,3591.876,269.808,20.015,14.669,16.828,16.597,18.062,17.067,47.961,4.508,4.178,4.105,3.433,2.808,2.38,2.97,5572.25,1077.074,-38.742,71.945,-12.082,33.951,16.589,15.376,1.877,11.208,7.219,2.722,4.918,6.254,-0.59,4.684,0.505,6.511,-2.38,4.889,0.299,-2.525,50.063,17.901,17.962,19.749,11.628,10.767,8.975,8.53,6.97,7.325,7.576,7.368,6.946,7.341,7.133,6.844,6.878,6.691,5.625,5.636,0.68,0.453,0.37,0.404,0.248,0.245,0.401,0.307,0.322,0.426,0.627,0.882,0.224,0.228,0.243,0.261,0.187,0.179,0.24,0.204,0.223,0.238,0.21,0.215
ACDC - ACDC - Who Made Who (Official HD Video) - Hard Rock - clipped.wav,0.179,0.232,1.285,0.615,0.146,0.043,0.227,0.052,123.047,2635.716,471.895,2381.87,329.35,2844.366,304.135,3282.491,283.232,21.223,14.704,16.842,16.766,16.263,17.118,48.238,4.496,3.73,3.675,2.977,2.094,2.455,3.382,5166.977,1040.478,-0.442,75.834,-21.548,43.069,5.976,10.068,-3.176,6.648,-8.515,3.736,2.89,2.27,-4.025,2.674,-0.394,-0.648,-5.491,2.314,0.22,-2.482,40.013,20.636,19.952,12.315,9.181,9.228,8.578,8.342,7.324,6.624,7.688,6.924,6.091,6.022,5.952,6.087,6.058,5.34,5.777,5.187,0.712,0.477,0.464,0.489,0.573,0.449,0.448,0.752,0.494,0.377,0.323,0.444,0.275,0.2,0.237,0.258,0.275,0.25,0.203,0.248,0.206,0.221,0.175,0.197
ACDC - ACDC - You Shook Me All Night Long (Official 4K Video) - Hard Rock - clipped.wav,0.17,0.22,1.289,0.644,0.146,0.054,0.213,0.054,129.199,2726.623,690.271,2537.534,407.088,3070.473,325.496,3548.654,256.187,20.845,14.436,17.089,17.899,17.101,17.752,47.502,4.751,3.916,4.204,3.562,2.479,2.429,2.96,5432.925,1549.752,-10.299,74.052,-23.441,19.022,13.767,4.772,1.75,6.301,-1.51,8.265,2.026,6.546,-4.42,1.033,-1.934,3.646,-0.93,1.197,2.009,2.511,46.823,27.127,24.285,15.37,11.179,10.613,10.472,8.463,8.079,8.072,7.666,6.718,5.753,6.746,7.194,7.358,7.532,7.518,7.178,6.683,0.414,0.376,0.483,0.383,0.419,0.388,0.536,0.566,0.359,0.43,0.386,0.441,0.29,0.234,0.271,0.237,0.287,0.264,0.295,0.32,0.232,0.303,0.272,0.303
